公    告,#genre#
仅供测试,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
请勿商用,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
[公众号],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
[追剧窝],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
创建时间
20220103
本次维护
20260101




密码获取,#genre#
公众号,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
追剧窝,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
发送VIP,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
即可获取,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
特色频道_123456,#genre#  要求在抖音快手等平台评论区发布软件宣传图自己点赞并截图换取密码
粤语特频_123456,#genre#

01河南电信,#genre#
CCTV-1,http://dodge.lwfz.fun:8800/rtp/239.16.20.1:10010
CCTV-2,http://dodge.lwfz.fun:8800/rtp/239.16.20.2:10020
CCTV-3,http://dodge.lwfz.fun:8800/rtp/239.16.20.3:10030
CCTV-4,http://dodge.lwfz.fun:8800/rtp/239.16.20.4:10040
CCTV-5,http://dodge.lwfz.fun:8800/rtp/239.16.20.53:10530
CCTV-5+,http://dodge.lwfz.fun:8800/rtp/239.16.20.5:10050
CCTV-6,http://dodge.lwfz.fun:8800/rtp/239.16.20.6:10060
CCTV-7,http://dodge.lwfz.fun:8800/rtp/239.16.20.51:10510
CCTV-8,http://dodge.lwfz.fun:8800/rtp/239.16.20.8:10080
CCTV-9,http://dodge.lwfz.fun:8800/rtp/239.16.20.9:10090
CCTV-10,http://dodge.lwfz.fun:8800/rtp/239.16.20.10:10100
CCTV-11,http://dodge.lwfz.fun:8800/rtp/239.16.20.11:10110
CCTV-12,http://dodge.lwfz.fun:8800/rtp/239.16.20.12:10120
CCTV-13,http://dodge.lwfz.fun:8800/rtp/239.16.20.13:10130
CCTV-14,http://dodge.lwfz.fun:8800/rtp/239.16.20.14:10140
CCTV-15,http://dodge.lwfz.fun:8800/rtp/239.16.20.15:10150
CCTV-16,http://dodge.lwfz.fun:8800/rtp/239.16.20.34:10340
CCTV-17,http://dodge.lwfz.fun:8800/rtp/239.16.20.7:10070
CCTV-1,http://dodge.lwfz.fun:8800/rtp/239.16.10.1:2000
CCTV-1,http://dodge.lwfz.fun:8800/rtp/239.16.10.36:2000
CCTV-2,http://dodge.lwfz.fun:8800/rtp/239.16.10.127:2000
CCTV-3,http://dodge.lwfz.fun:8800/rtp/239.16.10.2:2000
CCTV-3,http://dodge.lwfz.fun:8800/rtp/239.16.20.253:12530
CCTV-4,http://dodge.lwfz.fun:8800/rtp/239.16.10.128:2000
CCTV-5,http://dodge.lwfz.fun:8800/rtp/239.16.10.132:2000
CCTV-5+,http://dodge.lwfz.fun:8800/rtp/239.16.10.3:2000
